geo,iso-cc,geotype,key,value,population,quote
Baden-Württemberg,DE,state,sum,515281,11100394,4.64
Baden-Württemberg,DE,state,sum_initial,349631,11100394,
Baden-Württemberg,DE,state,sum_booster,165650,11100394,
Baden-Württemberg,DE,state,sum_initial_biontech,333762,11100394,
Baden-Württemberg,DE,state,sum_booster_biontech,165346,11100394,
Baden-Württemberg,DE,state,sum_initial_moderna,15658,11100394,
Baden-Württemberg,DE,state,sum_booster_moderna,304,11100394,
Baden-Württemberg,DE,state,sum_initial_astrazeneca,211,11100394,
Baden-Württemberg,DE,state,delta_vortag,15118,11100394,
Baden-Württemberg,DE,state,delta_vortag_initial,7719,11100394,
Baden-Württemberg,DE,state,delta_vortag_booster,7399,11100394,
Baden-Württemberg,DE,state,quote_initial,3.1497170280622475,11100394,
Baden-Württemberg,DE,state,quote_booster,1.4922893727916324,11100394,
Baden-Württemberg,DE,state,ind_alter,300213,11100394,
Baden-Württemberg,DE,state,ind_alter_initial,201945,11100394,
Baden-Württemberg,DE,state,ind_alter_booster,98268,11100394,
Baden-Württemberg,DE,state,ind_prof,175020,11100394,
Baden-Württemberg,DE,state,ind_prof_initial,118676,11100394,
Baden-Württemberg,DE,state,ind_prof_booster,56344,11100394,
Baden-Württemberg,DE,state,ind_med,14499,11100394,
Baden-Württemberg,DE,state,ind_med_initial,11056,11100394,
Baden-Württemberg,DE,state,ind_med_booster,3443,11100394,
Baden-Württemberg,DE,state,ind_pflege,95846,11100394,
Baden-Württemberg,DE,state,ind_pflege_initial,65444,11100394,
Baden-Württemberg,DE,state,ind_pflege_booster,30402,11100394,
Bayern,DE,state,sum,730066,13124737,5.56
Bayern,DE,state,sum_initial,482886,13124737,
Bayern,DE,state,sum_booster,247180,13124737,
Bayern,DE,state,sum_initial_biontech,460430,13124737,
Bayern,DE,state,sum_booster_biontech,240435,13124737,
Bayern,DE,state,sum_initial_moderna,12524,13124737,
Bayern,DE,state,sum_booster_moderna,6745,13124737,
Bayern,DE,state,sum_initial_astrazeneca,9932,13124737,
Bayern,DE,state,delta_vortag,21305,13124737,
Bayern,DE,state,delta_vortag_initial,11652,13124737,
Bayern,DE,state,delta_vortag_booster,9653,13124737,
Bayern,DE,state,quote_initial,3.679205152834682,13124737,
Bayern,DE,state,quote_booster,1.8833139285000529,13124737,
Bayern,DE,state,ind_alter,269349,13124737,
Bayern,DE,state,ind_alter_initial,189919,13124737,
Bayern,DE,state,ind_alter_booster,79430,13124737,
Bayern,DE,state,ind_prof,365218,13124737,
Bayern,DE,state,ind_prof_initial,234218,13124737,
Bayern,DE,state,ind_prof_booster,131000,13124737,
Bayern,DE,state,ind_med,17193,13124737,
Bayern,DE,state,ind_med_initial,12905,13124737,
Bayern,DE,state,ind_med_booster,4288,13124737,
Bayern,DE,state,ind_pflege,177421,13124737,
Bayern,DE,state,ind_pflege_initial,105870,13124737,
Bayern,DE,state,ind_pflege_booster,71551,13124737,
Berlin,DE,state,sum,210345,3669491,5.73
Berlin,DE,state,sum_initial,132204,3669491,
Berlin,DE,state,sum_booster,78141,3669491,
Berlin,DE,state,sum_initial_biontech,126813,3669491,
Berlin,DE,state,sum_booster_biontech,78141,3669491,
Berlin,DE,state,sum_initial_moderna,4257,3669491,
Berlin,DE,state,sum_booster_moderna,0,3669491,
Berlin,DE,state,sum_initial_astrazeneca,1134,3669491,
Berlin,DE,state,delta_vortag,5307,3669491,
Berlin,DE,state,delta_vortag_initial,1888,3669491,
Berlin,DE,state,delta_vortag_booster,3419,3669491,
Berlin,DE,state,quote_initial,3.6027885066348437,3669491,
Berlin,DE,state,quote_booster,2.1294779030661197,3669491,
Berlin,DE,state,ind_alter,153332,3669491,
Berlin,DE,state,ind_alter_initial,98211,3669491,
Berlin,DE,state,ind_alter_booster,55121,3669491,
Berlin,DE,state,ind_prof,53418,3669491,
Berlin,DE,state,ind_prof_initial,31449,3669491,
Berlin,DE,state,ind_prof_booster,21969,3669491,
Berlin,DE,state,ind_med,180,3669491,
Berlin,DE,state,ind_med_initial,150,3669491,
Berlin,DE,state,ind_med_booster,30,3669491,
Berlin,DE,state,ind_pflege,67913,3669491,
Berlin,DE,state,ind_pflege_initial,37764,3669491,
Berlin,DE,state,ind_pflege_booster,30149,3669491,
Brandenburg,DE,state,sum,140118,2521893,5.56
Brandenburg,DE,state,sum_initial,81672,2521893,
Brandenburg,DE,state,sum_booster,58446,2521893,
Brandenburg,DE,state,sum_initial_biontech,77558,2521893,
Brandenburg,DE,state,sum_booster_biontech,58445,2521893,
Brandenburg,DE,state,sum_initial_moderna,4114,2521893,
Brandenburg,DE,state,sum_booster_moderna,1,2521893,
Brandenburg,DE,state,sum_initial_astrazeneca,0,2521893,
Brandenburg,DE,state,delta_vortag,3127,2521893,
Brandenburg,DE,state,delta_vortag_initial,57,2521893,
Brandenburg,DE,state,delta_vortag_booster,3070,2521893,
Brandenburg,DE,state,quote_initial,3.238519635844978,2521893,
Brandenburg,DE,state,quote_booster,2.317544796706284,2521893,
Brandenburg,DE,state,ind_alter,59720,2521893,
Brandenburg,DE,state,ind_alter_initial,37425,2521893,
Brandenburg,DE,state,ind_alter_booster,22295,2521893,
Brandenburg,DE,state,ind_prof,76079,2521893,
Brandenburg,DE,state,ind_prof_initial,40904,2521893,
Brandenburg,DE,state,ind_prof_booster,35175,2521893,
Brandenburg,DE,state,ind_med,2020,2521893,
Brandenburg,DE,state,ind_med_initial,1307,2521893,
Brandenburg,DE,state,ind_med_booster,713,2521893,
Brandenburg,DE,state,ind_pflege,29936,2521893,
Brandenburg,DE,state,ind_pflege_initial,18610,2521893,
Brandenburg,DE,state,ind_pflege_booster,11326,2521893,
Bremen,DE,state,sum,40592,681202,5.96
Bremen,DE,state,sum_initial,25430,681202,
Bremen,DE,state,sum_booster,15162,681202,
Bremen,DE,state,sum_initial_biontech,23133,681202,
Bremen,DE,state,sum_booster_biontech,14007,681202,
Bremen,DE,state,sum_initial_moderna,1379,681202,
Bremen,DE,state,sum_booster_moderna,1155,681202,
Bremen,DE,state,sum_initial_astrazeneca,918,681202,
Bremen,DE,state,delta_vortag,1097,681202,
Bremen,DE,state,delta_vortag_initial,385,681202,
Bremen,DE,state,delta_vortag_booster,712,681202,
Bremen,DE,state,quote_initial,3.7331070666263457,681202,
Bremen,DE,state,quote_booster,2.225771503900458,681202,
Bremen,DE,state,ind_alter,18139,681202,
Bremen,DE,state,ind_alter_initial,12256,681202,
Bremen,DE,state,ind_alter_booster,5883,681202,
Bremen,DE,state,ind_prof,16807,681202,
Bremen,DE,state,ind_prof_initial,9947,681202,
Bremen,DE,state,ind_prof_booster,6860,681202,
Bremen,DE,state,ind_med,341,681202,
Bremen,DE,state,ind_med_initial,248,681202,
Bremen,DE,state,ind_med_booster,93,681202,
Bremen,DE,state,ind_pflege,13192,681202,
Bremen,DE,state,ind_pflege_initial,7509,681202,
Bremen,DE,state,ind_pflege_booster,5683,681202,
Hamburg,DE,state,sum,103743,1847253,5.62
Hamburg,DE,state,sum_initial,67681,1847253,
Hamburg,DE,state,sum_booster,36062,1847253,
Hamburg,DE,state,sum_initial_biontech,62560,1847253,
Hamburg,DE,state,sum_booster_biontech,35814,1847253,
Hamburg,DE,state,sum_initial_moderna,1604,1847253,
Hamburg,DE,state,sum_booster_moderna,248,1847253,
Hamburg,DE,state,sum_initial_astrazeneca,3517,1847253,
Hamburg,DE,state,delta_vortag,2831,1847253,
Hamburg,DE,state,delta_vortag_initial,1413,1847253,
Hamburg,DE,state,delta_vortag_booster,1418,1847253,
Hamburg,DE,state,quote_initial,3.6638727884052704,1847253,
Hamburg,DE,state,quote_booster,1.9521960446132716,1847253,
Hamburg,DE,state,ind_alter,41549,1847253,
Hamburg,DE,state,ind_alter_initial,28217,1847253,
Hamburg,DE,state,ind_alter_booster,13332,1847253,
Hamburg,DE,state,ind_prof,53268,1847253,
Hamburg,DE,state,ind_prof_initial,33248,1847253,
Hamburg,DE,state,ind_prof_booster,20020,1847253,
Hamburg,DE,state,ind_med,2089,1847253,
Hamburg,DE,state,ind_med_initial,1885,1847253,
Hamburg,DE,state,ind_med_booster,204,1847253,
Hamburg,DE,state,ind_pflege,22899,1847253,
Hamburg,DE,state,ind_pflege_initial,13753,1847253,
Hamburg,DE,state,ind_pflege_booster,9146,1847253,
Hessen,DE,state,sum,285909,6288080,4.55
Hessen,DE,state,sum_initial,196696,6288080,
Hessen,DE,state,sum_booster,89213,6288080,
